Температура охлаждающей жидкости	Соотношение воздух/топливо	Положение дроссельной заслонки	Частота вращения двигателя	Частота вращения двигателя на ХХ	Желаемое положение регулятора холостого хода	Текущее положение регулятора холостого хода	Коэффициент коррекции времени впрыска	Угол опережения зажигания	Скорость автомобиля	Напряжение бортовой сети	Желаемые обороты ХХ	Длительность импульса впрыска	Массовый расход воздуха	Цикловой расход воздуха	Часовой расход топлива	Путевой расход топлива	Контрольная сумма ПЗУ	Напряжение на датчике кислорода	Двигатель выключен	Холостой ход	Мощностное обогащение	Блокировка подачи топлива	Работа в зоне регулирования по ДК	Попадание в зону детонации	Продувка адсорбера	Сохранение результатов обучения по ДК	Готовность ДК	Нагрев ДК	Наличие холостого хода в прошлом цикле вычислений	Разрешение блокировки выхода из режима холостого хода	Попадание в зону детонации в прошлом цикле вычислений	Продувка адсорбера в прошлом цикле вычислений	Обнаружение детонации	Прошлое состояние датчика кислорода	Текущее состояние датчика кислорода	Время, ms
-40,00	7,35	0,0	0	0	0	0	0,500	0,00	0	5,20	0	0,000	0,00	0,000	0,0	0,00	0	0,000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
-40,00	7,35	0,0	0	0	0	0	0,500	0,00	0	5,20	0	0,000	0,00	0,000	0,0	0,00	0	0,000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341
-40,00	7,35	0,0	0	0	0	0	0,500	0,00	0	5,20	0	0,000	0,00	0,000	0,0	0,00	0	0,000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641
-40,00	7,35	0,0	0	0	0	0	0,500	0,00	0	5,20	0	0,000	0,00	0,000	0,0	0,00	0	0,000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942
-40,00	7,35	0,0	0	0	0	0	0,500	0,00	0	5,20	0	0,000	0,00	0,000	0,0	0,00	0	0,000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1242
-40,00	7,35	0,0	0	0	0	0	0,500	0,00	0	5,20	0	0,000	0,00	0,000	0,0	0,00	0	0,000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1543
-40,00	7,35	0,0	0	0	0	0	0,500	0,00	0	5,20	0	0,000	0,00	0,000	0,0	0,00	0	0,000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1843
-40,00	7,35	0,0	0	0	0	0	0,500	0,00	0	5,20	0	0,000	0,00	0,000	0,0	0,00	0	0,000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2144
-40,00	7,35	0,0	0	0	0	0	0,500	0,00	0	5,20	0	0,000	0,00	0,000	0,0	0,00	0	0,000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2444
-40,00	7,35	0,0	0	0	0	0	0,500	0,00	0	5,20	0	0,000	0,00	0,000	0,0	0,00	0	0,000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2744
-40,00	7,35	0,0	0	0	0	0	0,500	0,00	0	5,20	0	0,000	0,00	0,000	0,0	0,00	0	0,000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3045
-40,00	7,35	0,0	0	0	0	0	0,500	0,00	0	5,20	0	0,000	0,00	0,000	0,0	0,00	0	0,000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3345
-40,00	7,35	0,0	0	0	0	0	0,500	0,00	0	5,20	0	0,000	0,00	0,000	0,0	0,00	0	0,000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3646
